[13, 21, 1],[13, 22, 4]
[12, 21, 3],[13, 22, 4]
[13, 20, 3],[13, 22, 4]
[21, 1, 13],[22, 4, 13]
[21, 3, 12],[22, 4, 13]
[20, 3, 13],[22, 4, 13]
[21, 13, 1],[22, 13, 4]
[21, 12, 3],[22, 13, 4]
[20, 13, 3],[22, 13, 4]
[3, 13, 20],[5, 16, 20]
[4, 15, 19],[5, 16, 20]
[3, 20, 13],[5, 20, 16]
[4, 19, 15],[5, 20, 16]
[13, 3, 20],[16, 5, 20]
[15, 4, 19],[16, 5, 20]
[13, 20, 3],[16, 20, 5]
[15, 19, 4],[16, 20, 5]
[20, 3, 13],[20, 5, 16]
[19, 4, 15],[20, 5, 16]
[20, 13, 3],[20, 16, 5]
[19, 15, 4],[20, 16, 5]
[8, 9, 17],[8, 10, 20]
[8, 17, 9],[8, 20, 10]
[9, 8, 17],[10, 8, 20]
[9, 17, 8],[10, 20, 8]
[17, 8, 9],[20, 8, 10]
[17, 9, 8],[20, 10, 8]
[8, 9, 17],[8, 12, 19]
[8, 17, 9],[8, 19, 12]
[9, 8, 17],[12, 8, 19]
[9, 17, 8],[12, 19, 8]
[17, 8, 9],[19, 8, 12]
[17, 9, 8],[19, 12, 8]
[8, 9, 17],[8, 15, 18]
[8, 17, 9],[8, 18, 15]
[9, 8, 17],[15, 8, 18]
[9, 17, 8],[15, 18, 8]
[17, 8, 9],[18, 8, 15]
[17, 9, 8],[18, 15, 8]
[8, 9, 17],[9, 10, 18]
[9, 8, 17],[9, 10, 18]
[9, 9, 9],[9, 10, 18]
[8, 17, 9],[9, 18, 10]
[9, 17, 8],[9, 18, 10]
[9, 9, 9],[9, 18, 10]
[8, 9, 17],[10, 9, 18]
